level 1,level 2,level 3,level 4,level 5,level 6,level 7,Authentication,Authentication retention,Authentication Storage Technology,Identity,Identity retention,Identity Storage Technology,User experience,User experience retention,Analytics,Analytics retention,Analytics Storage Technology,Audit,Audit retention,Audit Storage Technology
Account,Account ID,,,,,,y,Until 5 years of inactivity,Cloud Storage,y,Until 5 years of inactivity,Cloud Storage,n,Not used,y,1 year,Cloud Storage,y,7 years,Cloud Storage
Account,Username (email),,,,,,y,Until 5 years of inactivity,Cloud Storage,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Account,Password,,,,,,y,Until 5 years of inactivity,Cloud Storage,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Account,Authenticator,Mobile phone number,,,,,y,Until 5 years of inactivity,Cloud Storage,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Account,Authenticator,Secret Key,,,,,y,Until 5 years of inactivity,Cloud Storage,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Account,Authenticator,One Time Password,,,,,y,15 minutes,Cloud Storage,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Account,Preferences,Language Preference,,,,,n,Not used,Not Used,n,Not used,Not Used,y,Until 5 years of inactivity ,n,Not used,Not Used,n,Not used,Not Used
Account,State,,,,,,y,Until 5 years of inactivity,Cloud Storage,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Device,IP Address,,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Device,Computer,Device Cookie,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Device,Computer,GPS,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Device,Mobile,Device ID,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Device,Mobile,Device Model,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Device,Mobile,Device OS Version,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Journey,Token,Access Token,,,,,y,3 minutes,Cloud Storage,y,3 minutes,Cloud Storage,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Journey,Token,ID Token,,,,,y,3 minutes,Cloud Storage,y,3 minutes,Cloud Storage,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Journey,Token,Refresh Token,,,,,y,3 minutes,Cloud Storage,y,3 minutes,Cloud Storage,n,Not used,n,Not used,Not Used,n,Not used,Not Used
Journey,Session,Component Session Identifier,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Journey,Session,Component Session Expiry,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Journey,Session,Persistent Session Identifier,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Journey,Session,Relying Party Reference,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Journey,Web Activity,,,,,,n,Not used,Not Used,n,Not used,Not Used,n,Not used,y,50 months,Cloud Storage,n,Not used,Not Used
Digital Identity,Identity Profile,Confidence Level,Required Confidence,,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Identity Profile,Confidence Level,Level of Confidence,,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Core Identity Attributes,Name,First name,,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Core Identity Attributes,Name,Family name,,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Core Identity Attributes,Date of Birth,,,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Type,Current address,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Type,Previous address(es),,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,UPRN,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Organisation name,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Department name,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Subbuilding name,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Building number,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Building name,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Dependent street name,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Street name,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Double dependent address,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Locality,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Dependent address locality,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Address locality,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
Digital Identity,Additional Identity Attributes,Address,Location,Postal code,,,n,Not used,Not Used,y,Until 5 years of inactivity,Cloud Storage,n,Not used,n,Not used,Not Used,y,7 years,Cloud Storage
